My father has asked me to be the fourth corner at the Joy Luck Club.	我 爸 要 我 在 喜福会 的 麻将 台 边 的 一 方 ， 取代 我 已故 的 母亲 。													
My mother could sense that the women of these families also had unspeakable tragedies they had left behind in China and hopes they couldn't begin to express in their fragile English.	我 母亲 能 感觉 到 这些 女人 们 也 各自 有 她们 的 隐痛 ， 她们 遗失 在 中国 的 梦幻 和 希望 。 然而 她	们 蹩脚	的	英语	，	很	难	使 她们	将	此	一	吐	为快	。
"Or at least, my mother recognized the numbness in these women's faces."	或者 说 ， 至少 ， 我 母亲 ， 已 从 她们 的 漠然 惆怅 的 脸上 ， 读出 了 什么 。													
And she saw how quickly their eyes moved when she told them her idea for the Joy Luck Club.	因此 ， 当 她 向 她们 建议 ， 发起 喜福会 时 ， 她们 立即 就 赞同 了 。													
"Joy Luck was an idea my mother remembered from the days of her first marriage in Kweilin, before the Japanese came."	喜福会 这 一 名字 ， 起 缘于 我 母亲 的 第一 次 婚姻 ， 那 还 是 在 日军 占领 桂林 前 。													
That's why I think of Joy Luck as her Kweilin story.	所以 一提到 喜福会 ， 就 会 使 我 想到 她 的 桂林 故事 。													
"It was the story she would always tell me when she was bored, when there was nothing to do, when every bowl had been washed and the Formica table had been wiped down twice, when my father sat reading the newspaper and smoking one Pall Mall cigarette after another, a warning not to disturb him."	每当 她 把 碗碟 擦 干净 ， 塑料 台面 也 已 擦拭 了 两 个 来回 ， 而 父亲 已 开始 将 脸 躲 在 报纸 后面	， 一 支	接	一	支	地	抽	他 的 黑	猫	牌	香	烟	——	这 往往 是 一 种 “ 不要 打搅 ” 的 警告 ， 这 便 是 她 觉得 无所事事 之 时 ， 于是 ， 她 便 会 对 我 讲 起 她 的 往事 。
This is when my mother would take out a box of old ski sweaters sent to us by unseen relatives from Vancouver.	这个 时候 她 总会 拉 出 一 箱 旧 毛衣 ， 那 是 我们 在 温哥华 的 一个 从 未 见 过 面 的 亲戚 送给 我们	的 。												
"Over the years, she told me the same story, except for the ending, which grew darker, casting long shadows into her life, and eventually into mine."	数 年 来 ， 她 重复 讲述 着 同 一个 故事 ， 只是 故事 的 结局 ， 一 次 比 一 次 黯淡 ， 犹如 她 自己 生	活 中 的	一	道	浓	重	的	阴影 。 而	今	，	这	道	阴	影 ， 也 渗入 到 了 我 的 生活 中 。
"I dreamed about Kweilin before I ever saw it, my mother began, speaking Chinese."""	我 母亲 总是 用 中国话 开始 她 的 叙述 ： “ 我 在 还 未 去 桂林 前 ， 就 梦见 它 好几 回 了 。													
"I dreamed of jagged peaks lining a curving river, with magic moss greening the banks."	群山 环绕 中 ， 一 条 小河 蜿蜒 而 过 ， 河 上 漂 着 青色 的 浮萍 。													
At the tops of these peaks were white mists.	天幕 上 衬着 锯齿 般的 山峦 ， 层层叠叠 的 ， 白云 缭绕 其间 。													
"And if you could float down this river and eat the moss for food, you would be strong enough to climb the peak."	如果 你 在 河面 上 漂浮 ， 仅 以 浮萍 果腹 ， 也 能 毫无 难色 地 爬 上 山峰 。													
"If you slipped, you would only fall into a bed of soft moss and laugh."	如果 你 不慎 滑 跌 下来 ， 也 只 是 坠入 一 张 柔软 的 浮萍 织成 的 大 床 上 。													
"And once you reached the top, you would be able to see everything and feel such happiness it would be enough to never have worries in your life ever again."	一旦 你 爬 至 顶峰 ， 你 会 因 眼前 袒露 的 一切 而 欣喜若狂 ， 它 会涤 净 你 的 一切 烦恼 不快 ， 扫	尽 一切	腌臢	之	气	。								
"In China, everybody dreamed about Kweilin."	“ 在 中国 ， 素有 桂林 山水 甲天下 之 说 ， 人人 都 梦想 着 桂林 。													
"And when I arrived, I realized how shabby my dreams were, how poor my thoughts."	然而 我 到 了 那里 ， 才 发现 ， 我 的 桂林 梦 竟是 那般 小家子气 ， 我 的 想象力 是 那样 狭窄 贫乏 。													
"When I saw the hills, I laughed and shuddered at the same time."	当 我 看见 真正 桂林 的 山峦 ， 我 笑 了 ， 同时 也 颤抖 了 。													
The peaks looked like giant fried fish heads trying to jump out of a vat of oil.	这些 山峦 ， 活像 大 堆 妄图 跳出 油锅 的 煎鱼 。													
"Behind each hill, I could see shadows of another fish, and then another and another."	山 与 山 之间 层层叠叠 ， 影影憧憧 ， 似 没有 个 尽头 。													
And then the clouds would move just a little and the hills would suddenly become monstrous elephants marching slowly toward me!	然而 只要 云层 稍稍 移动 一下 ， 这些 山峦 突然 又 变 了 ， 有时 会 像 一 群 逼近 的 象 群 。													
Can you see this?	你 能 想象 吗 ？													
The man who was my husband brought me and our two babies to Kweilin because he thought we would be safe.	我 男人 ， 把 我 和 两 个 婴儿 带 到 桂林 ， 是 为了 躲避 战火 ， 他 以为 这里 安全 些 。													
"He was an officer with the Kuomintang, and after he put us down in a small room in a two-story house, he went off to the northwest, to Chungking."	他 是 个 国民党 军官 ， 当 他 把 我们 安置 在 一 幢 二 层 楼房 的 小房间 里 后 ， 便 只身 一 人 去 了	重庆 。												
"We knew the Japanese were winning, even when the newspapers said they were not."	“ 我们 知道 日本 人 步步 挺进 ， 国军 节节败退 ， 尽管 报 上 从来 不 这样 说 。													
"Every day, every hour, thousands of people poured into the city, crowding the sidewalks, looking for places to live."	每日 每时 ， 都 有 成千上万 的 难民 拥进 城里 ， 簇拥 在 人行道 上 ， 四处 寻觅 栖身 之 处 。													
"And there was, of course, the Kuomintang and their army officers who thought they were top level to everyone else."	当然 ， 也 有 国民党 官兵 ， 他们 以 高人一等 的 姿态 自居 。 “ 这 简直 成 了 个 大杂烩 。													
Everybody looked down on someone else.	大家 互相 不买账 。													
"Oh, I hated the American air force officers who said habba-habba sounds to make my face turn red."	哦 ， 我 最恨 那些 美国 空军 官兵 了 ， 他们 那种 ‘ 好吧 ， 好吧 ’ 的 洋腔 中国话 让 人 听 了 会 忿怒	。												
But the worst were the northern peasants who emptied their noses into their hands and pushed people around and gave everybody their dirty diseases.	然而 最糟 的 是 北方 乡巴佬 ， 他们 用 手 挖 鼻孔 、 擤鼻涕 ， 又 用 那 擤鼻涕 的 手 去 推搡 旁边 的 人	， 龌里	龌	龊	的	。								
So you can see how quickly Kweilin lost its beauty for me.	“ 因 此 你 能 想象 ， 桂林 对 我 很 快 就 失却 了 她 的 种种 魅力 。													
"I no longer climbed the peaks to say, How lovely are these hills!"	我 再 不 想 去 爬山 ， 尽管 它们 是 那么 可爱 。													
I only wondered which hills the Japanese had reached.	我 怀疑 那些 山 已 被 日本 人 践踏 过 了 。													
And then the sound of raining rocks.	然后 砾石 雨点 般 劈头盖脑 地 倾覆 下来 。													
"Can you imagine how it is, to want to be neither inside nor outside, to want to be nowhere and disappear?"	你 能 想象 吗 ？ 生 的 希望 ， 既 不 在 洞里 ， 又 不 在 洞 外 ， 也 不知 究竟 在 何方 ？													
"So when the bombing sounds grew farther away, we would come back out like newborn kittens scratching our way back to the city."	完全 是 一 种 郁闷 而 无望 的 等待 。 “ 因 此 一旦 轰 炸声 远 去 ， 我们 便 像 刚 下地 的 小猫崽 一样	， 抓着	扒	着	拥	上	回城	的 道路	。					
"And always, I would be amazed to find the hills against the burning sky had not been torn apart."	我 常常 十分 诧异 地 发现 ， 那 映着 燃烧 的 天际 的 山峦 ， 竟然 还 是 完好 如初 ， 毫无 损伤 。													
"I thought up Joy Luck on a summer night that was so hot even the moths fainted to the ground, their wings were so heavy with the damp heat."	“ 令 我 生 出 发起 喜福会 这 念头 的 ， 是 在 一个 酷暑 煎 人 的 晚上 。 那天 热 得 连 飞蛾 都 给 暑气	熏 昏	而	坠 在	地	上	，	它们 的	翅膀	几	乎	要	被	潮湿 的 暑气 蒸熟 了 ， 以至 再 也 无力 掀动 。
Every place was so crowded there was no room for fresh air.	反正 ， 处处 都 散发 着 浑浊 的 臭气 ， 没有 一 间 房间 可以 吸到 一 点 清新 的 空气 。													
Unbearable smells from the sewers rose up to my second-story window and the stink had nowhere else to go but into my nose.	那 令 人 翻胃 的 臭气 ， 从 楼下 阴沟 里 泛 出来 ， 往 四下 弥散 ， 直 冲着 二 楼 我 的 窗棂 。													
"At all hours of the night and day, I heard screaming sounds."	它们 无孔不入 ， 甚至 我 的 鼻孔 也 遭了殃 。													
I didn't know if it was a peasant slitting the throat of a runaway pig or an officer beating a half-dead peasant for lying in his way on the sidewalk.	整整 一个 通宵 ， 阵阵 尖锐 刺耳 的 嚎叫 声 没有 平息 过 ， 不知 是 农民 在 杀猪 ， 还是 哪个 当官 的	， 在 当	街	痛打	挡	他	道	的 倒霉	的	乡巴	佬	。		
I knew which women I wanted to ask.	“ 我 便 生 出 了 这样 的 主意 ： 邀集 四 个 女人 来 打 麻将 。													
"They were all young like me, with wishful faces."	我 很 明白 要 邀 的 是 怎样 的 人 ： 她们 大都 像 我 一般 年轻 ， 有生气 。													
She had escaped with only a little money.	在 逃难 出来 时 ， 她 随身 只 携带 了 一点点 钱 。													
Each week one of us would host a party to raise money and to raise our spirits.	她 曾 与 一个 老头 结婚 ， 后来 那 老头 死 了 ， 给 她 留下 一 笔 足以 让 她 养尊处优 度日 的 财产 。													
"The hostess had to serve special dyansyin foods to bring good fortune of all kinds鈥攄umplings shaped like silver money ingots, long rice noodles for long life, boiled peanuts for conceiving sons, and of course, many good-luck oranges for a plentiful, sweet life."	“ 每星期 我们 轮流 做东 。 轮 到 的 女 主人 ， 必须 准备 一些 特别 的 可以 讨 口 彩 的 食品 —— 如 可	称作 金	钱	饼	的	烧饼	，	俗称 长	寿面	的	面	条	一	， 隐喻 得 贵子 的 落花生 ， 还有 ， 人 称 福橘 的 橘子 。
What fine food we treated ourselves to with our meager allowances!	“ 看 ， 以 我们 菲薄 的 经济 力量 ， 却 能 吃 上 这么 好 的 东西 ！													
We didn't notice that the dumplings were stuffed mostly with stringy squash and that the oranges were spotted with wormy holes.	我们 不在乎 金钱 饼 里 的 馅 是 烂 水果 捏成 。 而 所谓 的 福橘 ， 皮 上 满是 斑斑 的 霉点 。													
"We ate sparingly, not as if we didn't have enough, but to protest how we could not eat another bite, we had already bloated ourselves from earlier in the day."	我们 所 吃 有限 ， 倒 并 不 是 因 食物 不足 而 存心 节省 ， 而 是 因为 实在 吃 不 下 了 。 打从 聚 会日	的 大清	早	起	，	我们	便	开始 饱	口	福	了	。		
"After filling our stomachs, we would then fill a bowl with money and put it where everyone could see."	“ 口福 饱 了 后 ， 我们 便 把 钱 装满 一 大 碗 放 在 显眼 之 处 ， 随后 各 人 在 麻将 台 边 各就各位	。												
"The table had a very thick pad, so that when the mah jong pai were spilled onto the table the only sound was of ivory tiles washing against one another."	这 是 一 种 十分 华贵 的 家具 ， 可惜 在 英语 中 ， 找 不 到 合适 的 专用 名词 来 表示 它 。 桌上 铺 着	一 层	厚厚	的	垫衬	，	以	使 麻将	牌	倒	上	去	时	， 只 听见 象牙 块 互相 碰撞 的 闷闷 的 ‘ 噗噗’声 。
"But after sixteen rounds, we would again feast, this time to celebrate our good fortune."	但 打 了 十六 圈 后 ， 我们 又 要 饱 口福 了 ， 以 讨 点 好 口 彩 ， 沾 点 牌运 。													
And a silly foreign lady who fainted on a toilet when firecrackers went off next to her.	此外 ， 有 个 傻乎乎 的 外国 婆娘 在 上厕所 时 ， 被 一 声 爆竹声 吓 得 昏了 过去 。													
We all had our miseries.	我们 也 在 担惊受怕 ， 我们 也 都 有 各自 的 痛苦 。													
How much can you wish for a favorite warm coat that hangs in the closet of a house that burned down with your mother and father inside of it?	当 你家 的 房子 被 烧 了 ， 连同 你 的 父母亲 ， 都 一 起 烧 死 了 ， 你 还 会 想念 一 件 挂 在 房子 壁	橱 里 的	，	你	十	分	心	爱 的 大衣	吗	？				
How long can you see in your mind arms and legs hanging from telephone wires and starving dogs running down the streets with half-chewed hands dangling from their jaws?	当 电线杆 上 挂 着 残存 的 人 手 和 人 腿 ， 饿 狗 满 街 出没 ， 到处 乱窜 ， 它们 爪子 里 ， 还 拖 着	一 只 啃	了	一	半	的	人	手 ， 这时	，	你	的		头脑	还 能 保持 清醒 多久 呢 ？
"And each week, we could hope to be lucky."	我们 赌钱 ， 讲 最 美好 的 故事 。													
"My mother used to end the story on a happy note, bragging about her skill at the game."	我 母亲 ， 通常 总是 以 乐观 的 口气 来 结束 这个 故事 。 她 老 爱 炫耀 自己 的 牌 艺 是 如何 高超 。													
"I won many times and was so lucky the others teased that I had learned the trick of a clever thief, she said."""	“ 我 手气 好 ， 总是 赢家 。 人家 开玩笑 地 称 我 为 ‘ 贼 门槛 ’ ，													
I won tens of thousands of yuan.	” 她 说 ， “ 我 赢 到手 好 几万 呢 。													
But I wasn't rich.	但 我 并未 发财 。													
"And that made us laugh harder, to think a thousand-yuan note wasn't even good enough to rub on our bottoms."	我 曾 说 过 ， 一 张 票面 为 干 数 的 钞票 ， 还 不 够揩 一 次 屁股 呢 ！ ”													
I never thought my mother's Kweilin story was anything but a Chinese fairy tale.	我 从来 只 认为 ， 母亲 的 桂林 故事 ， 不过 是 个 中国 神话 而已 。													
The endings always changed.	故事 的 结局 ， 也 常常 是 多变 的 。													
The story always grew and grew.	她 的 故事 也 因 此 不断 得到 发展 和 补充 。													
"And then one evening, after I had begged her to buy me a transistor radio, after she refused and I had sulked in silence for an hour, she said, Why do you think you are missing something you never had?"""	有 天 晚上 ， 我 向 她 要求 买 架 半导体 收音机 ， 她 没 同意 ， 于是 我 就 生 了 一个 钟头 的 闷气 ，	一声不吭	。	她	便	说	了	： “ 你	为	什么	总		要 惦	记 一些 你 从 不曾 拥有 过 的 东西 呢 ？ ”
And then she told me a completely different ending to the story.	于是 ， 她 将 桂林 故事 的 另 一个 结尾 给 我 讲 开 了 。													
"An army officer came to my house early one morning, she said, ""and told me to go quickly to my husband in Chungking."""	“ 一 天 早上 我家 来 了 个 军官 ， ” 她 说 ， “ 他 是 来 通知 我 立即 去 重庆 我 丈夫 处 。													
And I knew he was telling me to run away from Kweilin.	我 明白 他 是 要 我 离开 桂林 。													
I knew what happened to officers and their families when the Japanese arrived.	一旦 日本 人 打 到 桂林 ， 我们 这些 军人 家属 可是 没好 果子 吃 的 。													
"My friend from Nanking, she was so good to me."	桂林 根本 已 不再 往 外地 发车 了 。													
I packed my things and my two babies into this wheelbarrow and began pushing to Chungking four days before the Japanese marched into Kweilin.	“ 我 把 行李 ， 还有 那 对 双胞胎 孩子 ， 都 放 在 独轮车 上 。 就 在 我 推 车 离开 桂林 的 第四 天 ，	桂林 失	守	了	。									
"Up to the last day, the Kuomintang insisted that Kweilin was safe, protected by the Chinese army."	直到 桂林 失守 的 最后 一 天 ， 国民党 词严义正 地 表示 ， 桂林 是 安全 的 ， 是 受 国军 保护 的 。													
"But later that day, the streets of Kweilin were strewn with newspapers reporting great Kuomintang victories, and on top of these papers, like fresh fish from a butcher, lay rows of people鈥攎en, women, and children who had never lost hope, but had lost their lives instead."	就 在 当天 日本 兵 入侵 桂林 后 ， 满 街 还 散乱地 丢弃 着 关于 报告 国军 大捷 的 号外 ， 而 它们 上边	， 则 躺	满	着	无	辜者	的	尸体 ，	就	像	砧	板	上	的 鱼 一样 ， 横七竖八 的 。 他们 多 为 女人 、 老人 和 小孩 ， 真叫 人 惨不忍睹 。
"When I heard this news, I walked faster and faster, asking myself at each step, Were they foolish?"	毛病 就 出 在 他们 一直 对 国军 怀着 希望 。 结果 你 看 ， 连 命 都 丢 了 。													
I abandoned my beautiful mah jong table of hong mu.	每 跨 一 步 ， 我 就 们 心 自问 ： 他们 是 不 是 很 笨 ？ 他们 这 算 不 算 有 勇气 ？													
By then I didn't have enough feeling left in my body to cry.	“ 我 急急 地 往 重庆 方向 赶路 ， 直到 车轮 终于 报废 了 ， 我 不得不 扔掉 那 张 华丽 的 红木 麻将 台	。 那时	连	哭	都	顾	不	上 了 。						
"Along the way, I saw others had done the same, gradually given up hope."	“ 沿途 ， 人人 都 是 这样 ， 放弃 了 手里 最后 的 希望 。 路面 犹如 是 珍宝 砌成 ， 价值连城 。													
It was like a pathway inlaid with treasures that grew in value along the way.	成匹 成匹 精美 的 锦缎 、 古书 、 祖宗 尊 像 、 木器 家具 …… 还有 整 笼 的 小鸭 。													
"Until one could see cages of ducklings now quiet with thirst and, later still, silver urns lying in the road, where people had been too tired to carry them for any kind of future hope."	一路上 还有 人们 扔下 的 银器 。 但 精疲力竭 的 人们 ， 对 这些 眼睛 都 不 扫 一下 ， 绝望 的 人们 对	什么 都	不	会 动	心	。								
By the time I arrived in Chungking I had lost everything except for three fancy silk dresses which I wore one on top of the other.	最后 ， 待 抵达 重庆 时 ， 我 已 是 子然一身 ， 两手空空 然 ， 除了 套 在 身上 的 三件 漂亮 的 绸衣 。	” “ 子	然	一	身	？	”							
What happened to the babies?	“ 那 …… 两 个 孩子 呢 ？ ”													
She didn't even pause to think.	母亲 头 也 不 抬 ， 干 干脆 脆 地 表示 这个 故事 已经 没有 “ 以后 ” 了 。													
"When I arrive at the Hsus' house, where the Joy Luck Club is meeting tonight, the first person I see is my father."	话 再说 回来 ， 今晚 的 喜福会 活动 在 许 家 。 我 一 进 门 ， 第一 个 见 到 的 ， 却 是 我 爸 。													
"Everybody's already here, seven family friends in their sixties and seventies."	这话 倒 也 不假 ， 其他 各位 都 早已 到齐 了 。 七 家 人家 的 成员 ， 大多 已 七老八十 了 。													
"The last time I saw them, at the funeral, I had broken down and cried big gulping sobs."	我 极力 让 自己 镇静自若 。 上次 见 到 他们 ， 还是 在 我 母亲 的 葬礼 上 。													
They must wonder now how someone like me can take my mother's place.	那时 我 悲痛欲绝 ， 几近 不 能 自持 。 他们 必定 会 嘀咕 ， 我 这样 的 一个 人 ， 怎 能 取代 我 的 母亲	呢 ？												
"A friend once told me that my mother and I were alike, that we had the same wispy hand gestures, the same girlish laugh and sideways look."	一个 朋友 曾 跟 我 说 过 ： 我 长 得 很 像 母亲 ， 举止 文雅 ， 有着 小姑娘 般的 清脆 悦耳 的 笑声 及	娇嗔 的	睇视	。										
"When I shyly told my mother this, she seemed insulted and said, You don't even know little percent of me!"""	有 一 次 我 羞答答 地 把 这话 告诉 母亲 ， 她 却 似 受 了 侮辱 般 申辩 着 ： “ 你 与 我 差 远 了 ， 你	对 我	了解	多	少	？	怕	百分之一	都	没有	！			
How can you be me?	那 怎么 可能 像 我 呢 ？ ” 她 说 得 对 。													
"Auntie, Uncle, I say repeatedly, nodding to each person there."""	“ 阿姨 、 伯伯 。 ” 我 向 在座 的 一一 颔 首 招呼 过 后 ， 并 径自 过去 站 在 父亲 身边 。													
He's looking at the Jongs' pictures from their recent China trip.	爸 正在 看 龚 家 最 近 在 中国 旅游 的 照片 。													
"Look at that, he says politely, pointing to a photo of the Jongs' tour group standing on wide slab steps."""	“ 看看 吧 。 ” 说 着 ， 他 指 着 旅游团 站 在 宽阔 的 石台阶 上 的 团体照 。													
"There is nothing in this picture that shows it was taken in China rather than San Francisco, or any other city for that matter."	这 张 相片 一 点 也 没 显出 什么 中国 的 背景 ， 倒像 是 在 旧金山 或 其他 什么 城市 照 的 。													
But my father doesn't seem to be looking at the picture anyway.	但 父亲 似 只 是 心不在焉 地 粗粗 浏览 着 这些 照片 。													
But what's the Chinese word that means indifferent because you can't see any differences?	但 不知 什么 时候 起 ， 他 变 得 不一样 了 。													
That's how troubled I think he is by my mother's death.	我 想 ， 那 是 因为 母亲 故世 的 缘故 吧 。													
"Will you look at that, he says, pointing to another nondescript picture."""	“ 看 这 一 张 。 ” 他 说 着 ， 手指 着 一 张 说明 不 了 什么 的 照片 。													
The Hsus' house feels heavy with greasy odors.	许 家 的 居室 里 ， 总是 弥漫 着 一 股 浓重 的 油腻味 。													
"Too many Chinese meals cooked in a too small kitchen, too many once fragrant smells compressed onto a thin layer of invisible grease."	在 小小的 厨房 里 烹饪 太 多 的 中国菜 ， 油气 就 很 容易 积淀 起来 。													
"I remember how my mother used to go into other people's houses and restaurants and wrinkle her nose, then whisper very loudly: I can see and feel the stickiness with my nose."""	我 至 今 记得 ， 每每 母亲 上 别人 家 或 餐馆 时 ， 总 会 皱 着 鼻子 轻声 地 ， 却 又 说 得 人人 都 听	见 ： “	我	都	觉得	鼻	子	给 油气	黏住	了	！		”	
"I have not been to the Hsus' house in many years, but the living room is exactly the same as I remember it."	我 已 有 好几 年 没 上 许 家 了 。 但 那间 起居室 还 是 与 我 记忆 中 的 一样 ， 丝毫 没有 变动 。													
"I remember this stuff, because when we were children, Auntie An-mei didn't let us touch any of her new furniture except through the clear plastic coverings."	这些 家具 我 都 记忆犹新 。 因为 在 我们 小时候 ， 安 梅 阿姨 从来 不 让 我们 触摸 一下 她 的 所 有 家	具 ， 除	非	上面	盖	着	塑料	布 。						
"On Joy Luck nights, my parents brought me to the Hsus'."	每逢 喜福会 的 活动日 ， 我 的 父母 便 带 我 一 起 去 许 家 。													
"Since I was the guest, I had to take care of all the younger children, so many children it seemed as if there were always one baby who was crying from having bumped its head on a table leg."	因为 我 是 客人 ， 因此 我 也 必得 看住 其他 的 小孩子 ， 这里 有 这么 多 的 小孩子 ， 似乎 每次 都 会	发生 诸	如	撞 疼	头	跌	痛	脚 的 事	。					
"The Joy Luck aunties are all wearing slacks, bright print blouses, and different versions of sturdy walking shoes."	然而 今天 晚上 ， 一切 都 显得 很 平常 。 喜福会 的 阿姨 都 穿 着 长裤 ， 配 着色 泽 鲜艳 的 花 衬衫 和	式 样 各	异	的	、	结实	的	跑鞋 。						
We are all seated around the dining room table under a lamp that looks like a Spanish candelabra.	我们 围桌 而 坐 ， 餐桌 上端 ， 垂 着 一 盏 西班牙 式 的 枝形 大 吊灯 。													
Uncle George puts on his bifocals and starts the meeting by reading the minutes:	乔治 叔叔 戴上 双 光 眼镜 ， 开始 宣读 会议 记录 ：													
The red bean soup was especially delicious.	喷 ， 赤豆 汤 很 好吃 。													
The March meeting had to be canceled until further notice.	三月份 的 喜福会 聚会 ， 我们 不得不 暂停 一 次 。													
We were sorry to have to bid a fond farewell to our dear friend Suyuan and extended our sympathy to the Canning Woo family.	很遗憾 ， 我们 亲爱 的 朋友 素 云 离开 了 我们 ， 向 坎宁·吴 全家 表示 慰问 。													
"I keep thinking the others will start talking about my mother, the wonderful friendship they shared, and why I am here in her spirit, to be the fourth corner and carry on the idea my mother came up with on a hot day in Kweilin."	我 原 以为 ， 大家 会谈 及 一阵 我 母亲 ， 念叨 着 她 的 种种 好处 。 正 因为 这样 ， 他们 才 让 我 在	麻将 台	上	替代	母	亲	，	以 作为 众	人	的	一	种	寄	托 ， 继续 母亲 的 得 之 于 桂林 那个 暑夜 的 启迪 。
And it seems to me my mother's life has been shelved for new business.	在 我 ， 却 似 觉得 ， 某些 新鲜事 ， 已 填塞 了 母亲 所 留下 的 空缺 。													
"Auntie Ying, who seems to shrink even more every time I see her, reaches into her knitting bag and pulls out the start of a tiny blue sweater."	映映 阿姨 —— 几乎 每 见 着 她 一 次 ， 就 发现 她 增加 了 几 条 皱纹 ， 则 从 编结 袋里 拿 出 一 件	小小的 蓝	衣	服	开始	忙	活	了 。						
The Joy Luck uncles begin to talk about stocks they are interested in buying.	喜福会 的 叔伯 们 开始 谈论 着 他们 感 兴趣 的 股票 。													
"Uncle Jack, who is Auntie Ying's younger brother, is very keen on a company that mines gold in Canada."	杰克 ， 即 映姨 的 弟弟 ， 颇为 热衷 加拿大 某 金矿 公司 发行 的 股票 。													
"It's a great hedge on inflation, he says with authority."""	“ 这 是 对付 通货膨胀 的 最 好 手法 ： 刀 切 豆腐 两 面 光 。 ” 他 挺有 权威性 地 说 。													
"He speaks the best English, almost accentless."	在 这些 人中 他 的 英语 最 好 ， 听 不 出 什么 生硬 做作 之 处 。													
"I think my mother's English was the worst, but she always thought her Chinese was the best."	这些 人 中 要 数 我 妈 的 英语 最 糟糕 ， 而 她 总 强调 ， 她 的 中文 是 众人 中 最 好 的 。													
She spoke Mandarin slightly blurred with a Shanghai dialect.	她 会讲 一 口 标准 的 国语 。 “ 今晚 还 打麻 将 不 ？ ”													
"Later, she says, ""after midnight."""	“ 再 过 一会 ， ” 她 说 ， “ 待 午夜 以后 。 ”													
"After everybody votes unanimously for the Canada gold stock, I go into the kitchen to ask Auntie An-mei why the Joy Luck Club started investing in stocks."	乔治 叔叔 招呼 着 大伙 。 当 大家 一致 同意 认购 加拿大 金矿 的 股票 后 ， 我 便 去 厨房 问安 梅 阿姨	， 为什么	喜	福会	要	做	股	票 生意	。					
